Name, Price
"Hp Refurbished Elitebook 840 G4 - Intel Core I5 - 7th Gen - 256GB SSD - 8GB Ram - 14.0" - Silver","GH₵ 3,800.00"
"Hp Refurbished EliteBook 1030 G3 Touchscreen x360 - Intel Core i5 - 8th Gen - 256GB SSD - 8GB RAM 13.3" - Silver","GH₵ 6,200.00"
"Hp Notebook 15-Dy2032wm - Core i3-11th Gen - 8GB RAM - 256GB SSD -15.6 Touchscreen -Fingerprints- Windows 11 Home - Silver","GH₵ 7,200.00"
"Hp Pavilion X360 15-ER1051CL  - 15.6'' - Core i5 -1235U 12GB RAM -  512GB SSD - Touch Screen - Natural Silver","GH₵ 12,000.00"
"Hp  Pavilion 15-eg0050wm Intel Core i5-1135G7 -15.6' FHD Touchscreen - 11th Gen- 8GB RAM-512GB -  Windows 11- Graphics Backlite Keyboard - Lunar Gold","GH₵ 10,000.00"
"Hp Refurbished  Elitebook  830 G6 X360 - Intel Core i5 - 8th Gen - 256GB SSD - 8GB RAM 13.3"- Silver-touch","GH₵ 5,700.00"
"Infinix Smart 9 HD - Dual SIM - 4G - 6.6" - 64GB ROM - 3GB RAM - 50MP Rear/8MP Front - 5000mAh - Metallic Black + 13 Months Warranty + Free Car Charger & Fabric Speaker","GH₵ 1,400.00"
"Itel P65 4G - 6.7'' - 128GB ROM - 4GB RAM - 50MP Rear /8MP Front - 5000mAh - Cyber Titanium + 12 Months","GH₵ 1,617.00"
"Infinix Hot 50i - 6.78'' Display - 128GB ROM - 4GB RAM - 48MP Rear - 8MP Front - 5000mAh - Sleek Black + 12 Months Warranty + Free Gradient Water Bottle","GH₵ 1,665.00"
"Itel A50C 4G Lite - 6.56'' - 32GB ROM - 2GB RAM - 8MP Rear /5MP Front - 4000mAh - Black + 12 Months Warranty","GH₵ 947.00"
"TECNO Camon 40 - Dual SIM - 6.78" - 256GB ROM - 8GB RAM -  50MP Rear/50MP Front - 5200mAh - Black + 13 Month Warranty","GH₵ 3,460.00"
"Samsung Galaxy A16 - 6.7" - 128GB + 4GB RAM - 50MP Rear/13MP Front - 5000mAh - Black + 24 Months Warranty","GH₵ 2,207.45"
"SMECO 32" - Frameless Digital Satellite TV - USB - HDMI -  Black.","GH₵ 1,340.66"
"Hikers GH-43GZ-FDS 43'' - Frameless Android Smart FHD LED TV - HDMI - Black","GH₵ 2,288.81"
"Tamashi NTX42 LED TV - 42'' - Black","GH₵ 2,527.00"
"Nexon 32" -  Digital Satellite TV - USB - HDMI - Black.","GH₵ 1,307.69"
"Asano 43" - 43DF2 - Digital Satellite HD TV - USB - HDMI - Black + 12 months Warranty","GH₵ 2,318.68"
"WEYON 32" 32WSA HD Smart  TV - Black +1 Years Warranty","GH₵ 1,352.35"
"Bruhm 55''- LED BTF-55V UHD Vidaa Smart OS - Black","GH₵ 5,989.01"
"Westpool Wp-3224S  32 inch - Frameless Android Smart FHD LED TV - HDMI - Black + Free Wall Mount","GH₵ 1,758.24"
"Mooved 43'' - Frameless Android Smart FHD LED TV - HDMI - Black","GH₵ 2,511.00"
"Mooved 32'' - Frameless Android Smart HD LED TV - HDMI - USB - Black","GH₵ 1,478.00"
"Nexon 32" - SMART TV - USB - HDMI - Black- NX-LE32DSAB","GH₵ 2,200.00"
"TCL 32''-S4500A Smart TV-HDMI- Black-TCL","GH₵ 2,888.89"
"AILYONS LSS 3205W T2/S2 Smart Tv - 32" - FHD - Black","GH₵ 2,200.00"
"LG 32LP500BPTA - 32 inches Digital TV - Black","GH₵ 2,650.00"
"Samsung 55 Inch DU8000 Series 4K HDR Smart LED 55DU8000 2024 TV","GH₵ 10,299.00"
"12 Inches Frontal Double Drawn Bob Blunt 1B  - Black","GH₵ 1,631.25"
"105 - 2.4 inches - Dual SIM - Cell Phone - 4MB ROM + 4MB RAM - 800mAh - Black and Blue","GH₵ 206.59"
"Women's High Heels sandals - Black/Red","GH₵ 443.75"
"LG 32 inches Digital Satellite 32LM550BPVA LED Television","GH₵ 3,299.00"
"Bath And Body Works Anti Bacteria Hand Sanitizer - 29ml","GH₵ 25.00"
"3 Piece Men's Slim Fit Single Breasted - Single Button Tuxedo Suit - Grey","GH₵ 1,130.00"
"Modern Fluffy Livingroom Center Rug Bedroom Carpets - 160 x 230cm - Violet","GH₵ 675.88"
"Baby Girl Soft Round Neck Ruffle Hem Long Sleeve Dress - 2-3Yrs - Red","GH₵ 193.75"
"Naviforce 9163 Men's Dual Digital Display Waterproof Stainless Steel Watch - Blue/Rose gold","GH₵ 730.00"
"Foldabl Electric Travel Kettle 0.6 L","GH₵ 105.00"
"Authentic Northern Smock with cap(Batakari) - Blue/Grey","GH₵ 568.75"
"Men's Suede Loafers – Comfortable and Durable - Coffee Brown","GH₵ 506.25"
"Silicone Cookware Set with Chopping Board - Grey - 19 Pieces","GH₵ 311.76"
"Sokany Bread Toaster","GH₵ 190.00"
"60W Multifunctional Fast Charging Cable Set - Black","GH₵ 97.65"
"Ghandour Cosmetics Style Up Anti-Perspirant Roll On - Spice - 50ml","GH₵ 10.69"
"NIVEA Body Lotion - Perfect & Radiant - 250ml","GH₵ 51.69"
"Vaseline Lot Cocoa Glow Lotion - 400ml","GH₵ 48.80"
"NIVEA Men Anti-Perspirant Roll On - Cool Kick - 50ml","GH₵ 35.20"
"NIVEA Q10 + Vitamin C Firming Body Lotion - 400ml","GH₵ 72.28"
"Cussons Baby Powder - Soft & Smooth - 200g","GH₵ 13.42"
"Ghandour Cosmetics Style Up Body Lotion - 420ml","GH₵ 24.33"
"Kiss Beauty Rosemary and Mint Hair and Scalp Treatment Oil  - 30ml","GH₵ 45.00"
"Ghandour Cosmetics Ghandour Cosmetics BO -16 Hair Mist Original - 40ml x 3","GH₵ 49.18"
"Cussons Baby Lotion - Mild & Gentle - 200ml","GH₵ 33.84"
"Ghandour Cosmetics Style Up shower Gel (Stamina) - 1050ml","GH₵ 42.61"
"Lifebuoy Carbolic Soap - Pack of 6 -115g","GH₵ 30.38"
"NIVEA Lip Balm Original - 4.8g","GH₵ 55.82"
"NIVEA Nourishing Cocoa Deep Moisture Serum Body Lotion - 400ml x 2","GH₵ 144.55"
"Smirnoff Premium Ice Double Black Vodka - 300ml","GH₵ 19.00"
"Baileys Original Irish Cream - 750ml","GH₵ 340.91"
"Guinness Malta Drink -  330ml x 12 Pet Bottles","GH₵ 135.04"
"Johnnie Walker Red Label Icons - 1L","GH₵ 406.00"
"Smirnoff Chocolate Vodka - 750ml","GH₵ 164.45"
"Jameson Irish Whiskey - 750ml","GH₵ 445.35"
"Niche Chocolate Drink 180ml x 24","GH₵ 165.00"
"Ocean Spray Cranberry Juice - 211ml x 12","GH₵ 500.00"
"Ocean Spray 100% Cranberry Juice - 2.83L x 2","GH₵ 400.00"
"Vitamilk Double Choco Shake Soy Milk - 1L x 6","GH₵ 280.00"
"Stute Classic Mango Juice - 1.5L","GH₵ 79.00"
"Welch Grape Juice - 473 ml x 12 Pieces","GH₵ 650.00"
"Purdey'S Natural Energy Replenish Raspberry & Rose - 330ml x 12","GH₵ 450.00"
"Purdey'S Natural Energy Replenish Raspberry & Rose - 330ml","GH₵ 130.00"
"Sprite Orange Canned Drink - 330ml x 24","GH₵ 250.00"
"12 M Solar Lights Waterproof Fairy Lights - Multicolor","GH₵ 58.87"
"2 In 1 Non-porous Wall-mounted Bathroom Rack With Hook","GH₵ 169.00"
"SIMI S125 1.77inch Feature Phone Dual SIM Card 1050mAh","GH₵ 116.00"
"redbeat D5 Smartphone, 6.52-inch HD Display, 6GB RAM+128G ROM, Octa-Core 1.6GHz, Blue","GH₵ 1,288.71"
"redbeat Kids Android Tablet 7 Inch, Quad Core, 6GB(2+4)RAM+32GB ROM+SD 512GB, Parental Controls, 3G Calling Tablet","GH₵ 779.59"
"Women's Sexy Lingerie Lace Nightwear Bodysuit","GH₵ 135.00"
"4  Modes LED Rechargeable headlight,  Waterproof Adjustable headlamp,Cycle Head Torch","GH₵ 121.23"
"Trendy Summer Comfortable Flat Men's Soles Sandal Slipper Flip Flop Red","GH₵ 58.70"
"Ice Silk Men's Sports Pants Casual Loose Comfortable Mesh (Black)","GH₵ 58.00"
"High-end Watch + Bracelet Dating Party Atmospheric watch","GH₵ 88.00"
"Folding Anti Blue-ray Presbyopic Reading Glasses, +1.50D(Gold)","GH₵ 49.00"
"Intelligent RGB Color LED Light Strip, APP Control + Button Control","GH₵ 98.64"
"Mythco Astronaut Star Projector, Galaxy Space Projector Night Light","GH₵ 189.00"
"Oil-proof Wall Sticker for Kitchen 40cm*2m","GH₵ 69.00"
"USB 3.1 Type-C To HDMI Converter, 4K HD Conversion Cable","GH₵ 130.00"
"MOONDA Luxury Double Sized Mattress-54*75-8 inches","GH₵ 1,820.00"
"Luxury King Sized Mattress-84*75 8 inches","GH₵ 2,470.00"
"Rechargeable Night Light Lamp Study Lamp Read Desk Led Table Lamp Bedside Light","GH₵ 120.00"
"Absorbent Bath Rug - Grey","GH₵ 56.00"
"MOONDA Luxury Queen Sized Mattress-72*75-8 inches","GH₵ 2,650.00"
